Name override	thuwalfood_id	taste rating	cost rating	ease rating	Review paragraphs
Al Alyadobe Restaurant	11	3	5	1	The heart and soul of Thuwali food. This place ranks easily among the worst in terms of convenience in town. But fear not. One does not go to a place like Al Alyadobe for convenience. John F. Kennedy is known to have said "We choose to go to the Moon in this decade and do the other things, not because they are easy, but because they are hard." Had JFK known about this restaurant, he surely would have mentioned about it alongside the lunar flights, as for an average first world traveller this place is almost like a lunar landing. Upon entering the premises, one faces a new world. Bread dough flying through the air, food being stirred on top of something that is best described as a huge flame thrower and more. All this carried out by friendly looking fellas working in the same happy manner as the seven dwarfs in the Disney classic "Snow White". How to order and in which language remains as much a mystery as the true name of this restaurant.	One should take this place as more than food, this is an experience. Without this immersion into the life of a blue collar worker in Saudi, one truly has not seen Thuwal. As one bounces between the counters in the restaurant, one sees true masters of their trade using their stoves and flipping bread off the oven. Worth seeing even if you are not hungry. A hefty chunk of the best bread in town along with tasty we don't exactly know what will cost some 12 SAR here.
4	12	4	3	2	Yes. This place is really called "4". Or at least that's the only character of the western writing system visible on the sign. This hole in the wall serves you with all things bread, pizza, flat bread and more. Ordering is easy, inside these guys have a list of all items being sold along with prices, both in arabic and english. So off you go poking fingers, come back in 10 minutes and collect your treat. Food might have some quirks, so keep an open mind. The pizza might not exactly have tomato sauce in it and the honey on labneh and honey bread might not have anything to do with bees and flowers, but hey, we'd expect someone naming their restaurant 4 to take some freedoms regarding the dishes as well. A large pizza will set you back some 23 SAR, small bread based treats around 5 SAR each.
Al Sayed	13	4	1	3	The fancy place in town. This is where the cream of Thuwal comes to be seen. Not the cheapest, but the fanciest. Pick the fish that fits your liking from a wide variety of options, along with shrimps and choose from the numerous options of how to prepare them. Enjoy the seafood with a variety of sides in either the open air lounge area with men or retreat to the privacy of a booth with the womefolk of your tribe. How easy it is to place your order in English depends strongly on the guy on shift, but in most cases you will get a pretty decent service in English. In addition, there is a small booth for the sides where you can go and point fingers and order that way if you hit the language barrier. A tasty and a fulfilling meal will cost you upwards from 50 SAR per person and the waiters are happy to box your leftovers.
Marhaba Broast	14	2	5	2	Surely it does not say much, but this is marginally more health conscious choice than the Taza Broast. In Marhaba Broast you can enjoy deep fried delights with sugar free soft drinks. The place for the adventurous mind. Upon inspection an order of chicken nuggets resulted in fish fingers. Like in Taza Broast, all dishes are accompanied by a hefty amount of fries. The consistency of fried items is not as crispy as in Taza.	A large dish of deep fried chicken or fish along with mushy fries and some bread will cost you 12 SAR.
The Southern Crescent	15	3	5	1	This joint in the heart of South Thuwal might not seem like the most easily approachable one, but don't let the appearance fool you. Inside, the occasional visitor will be greeted with a nice smile by an old arab gentleman smiling with both of his teeth. A series of hand-waving and sign language gestures will finally enable you to place an order. Unfortunately, the full selection available eludes the non-arabic speaker just as much as the true name of the restaurant. Glancing over the glass, one may see bizarre dough bits and flatbread-omelette-constructions being made. When tried, the sign language random number generator materialised on what is assumably a chicken liver sandwich. For a measly 2 SAR a pop, this admittedly shady looking construction offers real value for money and is recommended for anyone passing through.
Yalla Falafel	16	3	4	2	Another place, whose full selection remains a mystery. However, upon close inspection, the menu does seem to have western numbers on it. Moreover, these numbers do indicate a bargain. Most of the arabic gibberish items cost no more than 10 SAR a piece. With a little of haggling, the clerk was able to produce a few falafel sandwiches, with a hint of the Yalla falafel magic sauce. A small word of critique must be given to the bitter side taste in the sandwich.
Fish	17	3	2	3	Despite what the simplistic name implies, this place actually serves shrimp too. Traditional pick your fish and how you want it kind of place, with some seating options as well - at least if you happen to be a man. Enough so to qualify as one of the poshier places in Thuwal. Service is carried out with good English, but unfortunately the delivery of the goods takes quite a bit of time after the smooth ordering process. Enough so to allow the gentlemen at the deep frying place to ensure a chewy consistency on the shrimps. Also the shrimp from the oven suffers some handicaps, being a tad watery and lacking in flavour. A wise shrimp-eater will phone Fish in advance and show up on scene to pick up the order once it is ready, or simply divert to Siyad. Two people will fill up with fish at fish starting from around 100 SAR.
Heena Heena Chicken	18	4	3	4	The chicken place in town. For the same price as in Al Shweya, one gets rotisserie chicken that beats any competition in town. The fact that the sign has no English on it and that the door wishes you "Wellcom" should already tell the client that some trouble with ordering can be expected. Fortunately, upon inspection this trouble worked to the advantage of Heena Heena boys and the rice that was not ordered was quite tasty.
Aziziyat Habibi	19	4	3	5	One of the few mid-range places in Thuwal. Atmosphere is kind and inviting, and in terms of ease, the place is a true double whammy: staff understands and speaks good english and in addition ordering food can be done pointing fingers at large and clear colour images that resemble the final product surprisingly much. Like in so many places, you might want to call your family physician if you are able to finish the rice. The chicken that goes along with the rice is not only good price but of good quality as well. Selection includes grilled, rotisserie and other chicken products. A decent sized meal for two costs around 30 SAR.
The Pink Cockroach	20	5	4	4	Named after the little critter crawling on the floor and the colour of the tiling on the walls, this little restaurant on the side alley offers the Thuwali culinarist a fine treat of pakistani curry. Even a more demanding restaurant-goer will find the quality matching that of Al Hamad, one might even say that this place takes the lead among Pakistani joints in town, thanks to the fresh roti. A group of three inspectors ate large dishes of curry and a pile of delicious Roti for 42 SAR, and placing an order in English was possible with relative ease.
The King Fish	21	4	3	4	This place has practically no customers and opens to the opposite direction than every restaurant in the neighbourhood is certainly a creepy sight at first. Perhaps this contributed the fact that King Fish was not at the top of the list to be tried out. However, an adventurous culinarist will be rewarded for going the extra mile and stepping into this peculiar establishment.	The staff is not perfectly proficient in english, but luckily they have large colourful images of the dishes being served hung over the counter. The shrimp barely pales in comparison against the blue chip establishment in town, Al Siyad, and prices are more affordable too. A kilo of delicious shrimp will set one back some 70 SAR and if that is enough, one can always boost the menu in the true Hejazi way, with a massive pile of rice enough to feed a village; for next to nothing, of course.
Marlin-S	22	2	2	4	One of the bigger fish establishments in Thuwal, Marlin-S serves you shrimp and seafood of their own, or optionally prepares the fish you bring with you. The grilled fish has its own, interesting seasoning, but for shrimp and rice, it is recommended to drive further down the road to the fish king. Service is good, but costly, one should prepare to pay in excess of 100 SAR for a meal for two.
Hammour Habibi	23	3	2	3	One of the less shiny seafood establishments in town, Hammour Habibi offers the true Hejazi experience: Rice and seafood, with the classical on-the-floor seating.	The shrimp ranks between Marlin-S and Fish King, leaving room for the tasty Hammour to fill the role of a signature dish. Service is not the fastest in town, but one can certainly place an order in english with relative ease. A filling meal for two goes for slightly above a hundred riyals.
Broast Al Baith	24	2	4	4	The new Broast place in town, this restaurant is living the hype. At the time of testing, they even had a couple of posh westerners doing their jetsetting there. A friend of Al Baik will find this place worth a visit, although without the experience of packing oneself against sweaty bodies while waiting for your order in a hot room. This broast joint represents the "Whatever it is, if you can put some mushy fries on it, it'll get better" school of thought, as manifest in their chicken burgers and sandwiches. Fortunately, the fried chicken does not share the mushiness of the fries and burgers. One may comfortably place an order by pointing fingers at a selection of colourful photos of the dishes. A meal for one, with calories for two, will go for less than 15 SAR.
Halayat Al Rahaba	25	1	2	1	There is already a pattern of reporting having eaten "I don't know what", and this could be done in the case of this restaurant too. However, we do feel that the peculiar nature of the establishment warrants more detailed a description of what this restaurant serves. Since there was no menu, pictures of plates being served, or other patrons, we are left to assume that what follows is the description of the only dish available.	The preparation begins with a few pieces of dough casually rolled flat and thrown onto a giant frying pan. On the pan, the bread is sprinkled with mysterious "unknown liquid a". After the frying process, the bread is stuffed into an industrial grade meat grinder and plenty "unknown liquid b" is poured into the grinder from a teapot. In addition some thick brown gelly substance is inserted into the grinder. Once the bread has been cycled through the meat grinder thrice, it is piled in layers with some thick creamy paste and plenty of thick syrup-y "unknown liquid c". Finally, the whole portion is topped up with a fair amount of ground cheese.	A large plastic container of this extraordinary dessert-appetizer-we-don't-know-what costs some 10 SAR. You are warmly invited to join the restaurant staff in the garden furniture in front of the restaurant and to enjoy your treat.
Broast Badar	26	3	3	4	Luckily for the amateur restaurant critic, this establishment stands out from the long list of deep frieries in Thuwal. The selection is simpler than in the competing facilities, but what they do, they do well. Ordering is plain and simple, just tell them how many you want, or use your fingers, if in doubt. In less than five minutes, you'll have a portion of deep-fried chicken and fries, along with not one but two kinds of sauces.	The price for the best Thuwali Broast thus far is 12 SAR, and we're happy to report that it is only the sloppy french fries that keep this restaurant from having a 4/5 rating in the taste category.
Hamyada Adan	27	4	5	4	This is probably the cheapest restaurant in the hood. For a measly 10 SAR you will enjoy a platter of suspicious looking, but spicy and delicious cow intestines with Naan and drink. Other dishes are available on the overhead pictures and ordering is as easy as pointing fingers.	If the yemeni guy is on shift and makes you an offer for Chai Adan, make sure to take it. The specialty from his home town is well worth it.
Al Shwamiriya	28	1	3	3	One of the more suspicious establishments, it is not easy to say what Shwamiriya offers. Upon inquiry, the request for a falafel was declined, but they did serve sandwiches, though. Taste leaves a lot to be sought after, and the fried egg in between the dry bun could do with a bit of dressing. On the sunny side, the prices aren't overwhelming either at 6 SAR a sandwich.
Al Qurayahat	29	3	4	3	We are not absolutely sure about what this place serves, nor whether this should even count as a separate restaurant or just another exit to Al Washirimi, that is just around the corner. Upon trial, we were able to get some tasty liver sandwiches for measly 3SAR, but the presence of jelly jars leads us to believe that there are some sweet options available too.
Al Washirimi	30	2	3	4	The home of the peculiar rectangular pastries in town. These pastries come in (at least) two styles: Eggy and sweet and Savoury Veggie. On top of this, they also offer something that closely resembles the weird stuff served at Al Shwamiriya.	The taste of the pastries could be improved with a bit of seasoning, the eggy pastry will make a nice dessert. One can place an order literally through a hole in the wall. A pastry will set you back some 5SAR.
Al Rashamiya	31	2	3	5	Yet another broast place in town. This place does not quite match what Broast Badar has to offer, but it is certainly not one of the worst Broast places in town.	What really sets this place apart from the competition, is the garlic mayo. It has punch with a capital P. We are happy to report that instead of serving fries that have stood on the counter for who knows how long, they do make fries to order. However, if the fries were crispy when they were made, they certainly were not once they reached the campus.	A portion of mechanically separated chicken with enough calories to feed the state of Mali for a week goes for 12 SAR plus change for drinks. Ordering process is smooth regardless of whether one chooses to place an order using English or fingers.
Marhaba Restaurant	32	3	5	2	Open since the beginning of 2016, this restaurant provides some fresh and long needed Indian flavour to the Thuwali culinary scene. There is no menu, nor English speaking staff. However, with the help of kind patrons, we managed to place an order.	 For a measly 17 Riyal, one obtains a ton of extra spicy biryani quite heavy in coriander, chicken curry and two kinds of bread. The breads offered are some kind of a specialty, and unlike in most of Thuwali places, come from a pan rather than an oven. The lighter color texture is a true experience, for the few readers that know their way around both Ethiopian and Finnish food, it is best described as something that has a texture of ohukainen but the taste of watered-down injira. Overall the food is good for the price, but the biryani could use a youghurt on the side.
Kasara Al-Zajaj	33	3	3	3	Loosely translated, the name of this establishment is a reference to the state of the glass door that used to seal the entrance of this reastaurant. This heavily grunge-themed Thuwali pearl is clearly popular among the youngster of the town. The taste of shwarmas being offered is more than satisfactory, however the establishment does lose a point for the heavy, thick and greasy texture. The recommendation is to order the shwarmas without the cheese. The special hot sauce is nothing to be intimidated by.    7 Riyal buys you an extra-sized shwarma and on top of the deal you can be seen around the cool teenagers in town.
Yalla Bedouin	34	3	2	2	The UG place in town. The non-arabic speaker will find this somewhere between confusing and genuine. There was a group of people seated outside the restaurant on a blanket and it was not perfectly clear who was staff and who wasn't. The clerk/chef/janitor knew the word "half" in English. What was expected to be half a portion of one food and half a portion of another turned out to be half a chicken instead. On the bright side of things, the chicken is probably as fatty as it can be without being deep fried.	A parcel with chicken, onion wedges and a pile of rice larger than life will set you back 13 SAR.
Royal Sayed	35	5	2	3	Al Sayed has decided to expand from seafood into the barbeque business and the result is Royal Sayed, a restaurant serving BBQ food in the backside of Al Sayed.	The kitsch decor invites the thuwalites in with its unique mix of bright colors from children's playland and shapes from the palaces of One Thousand and One Nights. Quality is high, as one would assume from Al Sayed, as is the price. We especially recommend the delightful meat skewers. What Royal Sayed loses to Istanbul Restanurant in the lack of tzatziki, it makes up with its muttabal and in-house baked bread.	Despite the lack of english menu, the ordering is relatively easy for the foreigner, at least if there is an english speaker on shift.	A large meal for two will set you back some 60 SAR.
Spicy Cuisines	36	4	5	3	Spicy Cuisines brings the familiar naan-and-curry experience to Southern Thuwal. Just a stone's throw from the slowly-but-surely gentrifying and hippy south end of Thuwal. This establishment serves the hungry Thuwal-wanderer with a good old greasy curry to drown your steaming hot freshly baked Roti in. A whopping meal for two with calories for seven and even a bit more for the next day sets you back no more than 22 SAR. Warmly recommended, especially for the friends of Daal of the less-than-mushy variety.
